model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
Table S2d - 2a,Escape distance,Gaussian,3446,fixed,(Intercept),0,-0.34,0.37
"","","","",fixed,starting distance (ln),0.464,0.428,0.498
"","","","",fixed,flock size (ln),-0.019,-0.046,0.007
"","","","",fixed,body mass (ln),0.007,-0.093,0.11
"","","","",fixed,time (sine of radians),0.02,-0.018,0.058
"","","","",fixed,time (cosine of radians),-0.01,-0.043,0.023
"","","","",fixed,temperature,-0.028,-0.066,0.009
"","","","",fixed,# of humans,-0.052,-0.105,0.002
"","","","",random,species within day & year (Intercept),8%,5%,9%
"","","","",random,species within site (Intercept),2%,1%,3%
"","","","",random,site (Intercept),6%,4%,5%
"","","","",random,species (Intercept),4%,3%,3%
"","","","",random,genus (Intercept),6%,4%,5%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-2%,18%
"","","","",random,# of humans (slope) | country,0%,-2%,18%
"","","","",random,year (Intercept),7%,4%,7%
"","","","",random,Residual,67%,38%,76%
Table S2d - 2b,Escape distance,Gaussian,3446,fixed,(Intercept),-0.003,-0.349,0.348
"","","","",fixed,starting distance (ln),0.464,0.427,0.499
"","","","",fixed,flock size (ln),-0.019,-0.045,0.007
"","","","",fixed,body mass (ln),0.01,-0.091,0.115
"","","","",fixed,time (sine of radians),0.02,-0.018,0.059
"","","","",fixed,time (cosine of radians),-0.01,-0.043,0.023
"","","","",fixed,temperature,-0.028,-0.067,0.01
"","","","",fixed,# of humans,-0.054,-0.105,-0.001
"","","","",random,species within day & year (Intercept),9%,5%,10%
"","","","",random,species within site (Intercept),3%,1%,3%
"","","","",random,site (Intercept),6%,4%,5%
"","","","",random,species (Intercept),5%,3%,4%
"","","","",random,genus (Intercept),0%,0%,5%
"","","","",random,# of humans (slope) | genus,0%,0%,5%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-2%,17%
"","","","",random,# of humans (slope) | country,0%,-2%,17%
"","","","",random,year (Intercept),7%,5%,7%
"","","","",random,Residual,70%,35%,79%
Table S2d - 2c,Escape distance,Gaussian,3446,fixed,(Intercept),0.071,-0.261,0.412
"","","","",fixed,starting distance (ln),0.469,0.434,0.504
"","","","",fixed,flock size (ln),-0.028,-0.055,-0.002
"","","","",fixed,body mass (ln),0.094,-0.013,0.197
"","","","",fixed,time (sine of radians),0.022,-0.017,0.062
"","","","",fixed,time (cosine of radians),-0.013,-0.045,0.019
"","","","",fixed,temperature,-0.028,-0.066,0.01
"","","","",fixed,# of humans,-0.054,-0.112,0.006
"","","","",random,species within day & year (Intercept),9%,6%,10%
"","","","",random,species within site (Intercept),5%,3%,5%
"","","","",random,site (Intercept),5%,4%,5%
"","","","",random,genus (Intercept),12%,10%,11%
"","","","",random,country (Intercept),0%,-3%,11%
"","","","",random,# of humans (slope) | country,0%,-3%,11%
"","","","",random,year (Intercept),6%,2%,13%
"","","","",random,Residual,63%,41%,75%
Table S2d - 3a,Escape distance,Gaussian,3408,fixed,(Intercept),-0.009,-0.346,0.342
"","","","",fixed,starting distance (ln),0.458,0.425,0.491
"","","","",fixed,flock size (ln),-0.02,-0.046,0.006
"","","","",fixed,body mass (ln),0.019,-0.093,0.128
"","","","",fixed,time (sine of radians),0.019,-0.018,0.058
"","","","",fixed,time (cosine of radians),-0.009,-0.042,0.024
"","","","",fixed,temperature,-0.028,-0.067,0.009
"","","","",fixed,# of humans,-0.052,-0.108,0.007
"","","","",random,species within day & year (Intercept),8%,5%,9%
"","","","",random,species within site (Intercept),2%,1%,3%
"","","","",random,site (Intercept),6%,4%,6%
"","","","",random,species (Intercept),5%,4%,4%
"","","","",random,genus (Intercept),6%,4%,6%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-3%,17%
"","","","",random,# of humans (slope) | country,0%,-3%,17%
"","","","",random,year (Intercept),6%,4%,7%
"","","","",random,Residual,66%,38%,76%
Table S2d - 3b,Escape distance,Gaussian,3408,fixed,(Intercept),-0.001,-0.355,0.347
"","","","",fixed,starting distance (ln),0.458,0.423,0.492
"","","","",fixed,flock size (ln),-0.02,-0.047,0.007
"","","","",fixed,body mass (ln),0.023,-0.085,0.133
"","","","",fixed,time (sine of radians),0.02,-0.02,0.058
"","","","",fixed,time (cosine of radians),-0.008,-0.041,0.025
"","","","",fixed,temperature,-0.028,-0.066,0.009
"","","","",fixed,# of humans,-0.054,-0.112,0.003
"","","","",random,species within day & year (Intercept),9%,5%,10%
"","","","",random,species within site (Intercept),3%,1%,3%
"","","","",random,site (Intercept),6%,4%,5%
"","","","",random,species (Intercept),5%,4%,4%
"","","","",random,genus (Intercept),0%,0%,6%
"","","","",random,# of humans (slope) | genus,0%,0%,6%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),0%,-3%,16%
"","","","",random,# of humans (slope) | country,0%,-3%,16%
"","","","",random,year (Intercept),7%,5%,7%
"","","","",random,Residual,70%,35%,79%
Table S2d - 3c,Escape distancey,Gaussian,3408,fixed,(Intercept),0.06,-0.271,0.402
"","","","",fixed,starting distance (ln),0.463,0.428,0.497
"","","","",fixed,flock size (ln),-0.029,-0.054,-0.002
"","","","",fixed,body mass (ln),0.11,0,0.221
"","","","",fixed,time (sine of radians),0.022,-0.018,0.061
"","","","",fixed,time (cosine of radians),-0.012,-0.045,0.023
"","","","",fixed,temperature,-0.028,-0.067,0.01
"","","","",fixed,# of humans,-0.053,-0.113,0.008
"","","","",random,species within day & year (Intercept),9%,6%,10%
"","","","",random,species within site (Intercept),4%,3%,5%
"","","","",random,site (Intercept),6%,4%,5%
"","","","",random,genus (Intercept),13%,10%,12%
"","","","",random,country (Intercept),0%,-3%,12%
"","","","",random,# of humans (slope) | country,0%,-3%,12%
"","","","",random,year (Intercept),6%,2%,12%
"","","","",random,Residual,62%,39%,75%
