model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",random %,species (Intercept),22%,17%,26%
"","","","",random %,genus (Intercept),0%,0%,0%
"","","","",random %,Residual,72%,67%,77%
Table v - CZ a,Escape distance,Gaussian,1054,fixed,(Intercept),0.223,0.025,0.437
"","","","",fixed,starting distance (ln)),0.354,0.295,0.413
"","","","",fixed,flock size,0.004,-0.045,0.056
"","","","",fixed,body mass,0.181,0.026,0.341
"","","","",fixed,sine of radians,0.062,-0.013,0.136
"","","","",fixed,cosine of radians,0.007,-0.063,0.077
"","","","",fixed,temperaturre,0.011,-0.076,0.098
"","","","",fixed,Stringency index,-0.062,-0.181,0.058
"","","","",random %,species within site (Intercept),4%,4%,4%
"","","","",random %,species within day & year (Intercept),2%,2%,2%
"","","","",random %,species (Intercept),15%,12%,17%
"","","","",random %,genus (Intercept),14%,10%,18%
"","","","",random %,site (Intercept),5%,3%,6%
"","","","",random %,Residual,61%,54%,68%
Table S_FID_s - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.229,0.02,0.433
"","","","",fixed,starting distance (ln)),0.355,0.297,0.413
"","","","",fixed,flock size,0.004,-0.045,0.056
"","","","",fixed,body mass,0.182,0.028,0.342
"","","","",fixed,sine of radians,0.061,-0.012,0.137
"","","","",fixed,cosine of radians,0.006,-0.064,0.078
"","","","",fixed,temperaturre,0.01,-0.08,0.098
"","","","",fixed,Stringency index,-0.061,-0.179,0.056
"","","","",random %,species within site (Intercept),4%,4%,4%
"","","","",random %,species within day & year (Intercept),2%,2%,2%
"","","","",random %,species (Intercept),15%,12%,17%
"","","","",random %,genus (Intercept),14%,10%,18%
"","","","",random %,site (Intercept),5%,3%,6%
"","","","",random %,Residual,61%,54%,68%
Table S_FID_s - HU a,Escape distance,Gaussian,874,fixed,(Intercept),0.069,-0.212,0.342
"","","","",fixed,year,0.193,0.089,0.301
"","","","",fixed,starting distance (ln)),0.507,0.447,0.569
"","","","",fixed,flock size,0.002,-0.052,0.054
"","","","",fixed,body mass,-0.001,-0.14,0.141
"","","","",fixed,sine of radians,-0.124,-0.19,-0.057
"","","","",fixed,cosine of radians,0.033,-0.039,0.105
"","","","",fixed,temperaturre,-0.008,-0.103,0.09
"","","","",fixed,Stringency index,0.045,-0.096,0.183
"","","","",random %,species within day & year (Intercept),3%,3%,3%
"","","","",random %,species within site (Intercept),0%,0%,0%
"","","","",random %,species (Intercept),1%,1%,1%
"","","","",random %,genus (Intercept),11%,7%,15%
"","","","",random %,site (Intercept),10%,7%,13%
"","","","",random %,Residual,74%,67%,82%
Table S_FID_s - HU b,Escape distance,Gaussian,874,fixed,(Intercept),0.055,-0.402,0.521
"","","","",fixed,year,0.236,0.107,0.365
"","","","",fixed,flock size,0.004,-0.056,0.063
"","","","",fixed,body mass,0.295,0.066,0.521
"","","","",fixed,sine of radians,-0.14,-0.221,-0.064
"","","","",fixed,cosine of radians,0.034,-0.051,0.115
"","","","",fixed,temperaturre,-0.031,-0.147,0.08
"","","","",fixed,Stringency index,0.003,-0.159,0.161
"","","","",random %,species within day & year (Intercept),5%,5%,6%
"","","","",random %,species within site (Intercept),0%,0%,0%
"","","","",random %,species (Intercept),1%,1%,1%
"","","","",random %,genus (Intercept),25%,18%,31%
"","","","",random %,site (Intercept),18%,16%,19%
"","","","",random %,Residual,51%,43%,60%
Table S_FID_s - AU a,Escape distance,Gaussian,1065,fixed,(Intercept),-0.049,-0.189,0.09
"","","","",fixed,year,0.036,-0.03,0.1
"","","","",fixed,starting distance (ln)),0.496,0.444,0.549
"","","","",fixed,flock size,0.024,-0.024,0.072
"","","","",fixed,body mass,-0.052,-0.146,0.044
"","","","",fixed,sine of radians,-0.037,-0.109,0.035
"","","","",fixed,cosine of radians,-0.052,-0.119,0.016
"","","","",fixed,temperaturre,0.033,-0.028,0.094
"","","","",fixed,Stringency index,0.058,-0.006,0.123
"","","","",random %,species within day & year (Intercept),6%,6%,6%
"","","","",random %,species within site (Intercept),12%,12%,12%
"","","","",random %,species (Intercept),11%,9%,13%
"","","","",random %,genus (Intercept),2%,2%,3%
"","","","",random %,site (Intercept),7%,5%,9%
"","","","",random %,Residual,61%,57%,66%
Table S_FID_s - AU b,Escape distancey,Gaussian,1065,fixed,(Intercept),-0.101,-0.287,0.087
"","","","",fixed,year,0.104,0.029,0.176
"","","","",fixed,flock size,0.055,0.001,0.111
"","","","",fixed,body mass,0.062,-0.063,0.184
"","","","",fixed,sine of radians,-0.011,-0.095,0.072
"","","","",fixed,cosine of radians,-0.019,-0.095,0.059
"","","","",fixed,temperaturre,0.041,-0.029,0.11
"","","","",fixed,Stringency index,0.091,0.015,0.164
"","","","",random %,species within day & year (Intercept),7%,7%,8%
"","","","",random %,species within site (Intercept),11%,11%,11%
"","","","",random %,species (Intercept),13%,11%,15%
"","","","",random %,genus (Intercept),7%,6%,8%
"","","","",random %,site (Intercept),8%,6%,10%
"","","","",random %,Residual,54%,49%,58%
