model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),1%,-4%,6%
"","","","",random %,Country scale(Period),1%,-4%,6%
"","","","",random %,year (Intercept),3%,2%,4%
"","","","",random %,Residual,79%,42%,94%
Table S1 - 1c,Escape distance,Gaussian,6369,fixed,(Intercept),0.013,-0.161,0.175
"","","","",fixed,scale(log(SD)),0.494,0.469,0.518
"","","","",fixed,scale(log(FlockSize)),-0.018,-0.037,0
"","","","",fixed,scale(log(BodyMass)),0.025,-0.006,0.054
"","","","",fixed,scale(sin(rad)),0.014,-0.014,0.043
"","","","",fixed,scale(cos(rad)),0.027,0.003,0.051
"","","","",fixed,scale(Temp),-0.004,-0.034,0.027
"","","","",fixed,scale(Period),-0.041,-0.212,0.132
"","","","",random %,species within day & year (Intercept),12%,7%,13%
"","","","",random %,species within site (Intercept),1%,0%,12%
"","","","",random %,species within site scale(Period),1%,0%,12%
"","","","",random %,site (Intercept),1%,1%,6%
"","","","",random %,site scale(Period),1%,1%,6%
"","","","",random %,species scale(Period),1%,1%,1%
"","","","",random %,genus scale(Period),0%,0%,0%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),1%,-2%,4%
"","","","",random %,Country scale(Period),1%,-2%,4%
"","","","",random %,year (Intercept),3%,2%,4%
"","","","",random %,Residual,77%,46%,87%
Table S1 - 1d,Escape distance,Gaussian,6369,fixed,(Intercept),0.083,-0.124,0.286
"","","","",fixed,scale(log(SD)),0.476,0.452,0.501
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.026,0.011
"","","","",fixed,scale(log(BodyMass)),0.046,-0.018,0.114
"","","","",fixed,scale(sin(rad)),0.022,-0.007,0.049
"","","","",fixed,scale(cos(rad)),0.028,0.006,0.051
"","","","",fixed,scale(Temp),0,-0.029,0.029
"","","","",fixed,scale(Period),-0.031,-0.199,0.129
"","","","",random %,species within day & year (Intercept),8%,6%,9%
"","","","",random %,species within site (Intercept),0%,0%,4%
"","","","",random %,species within site scale(Period),0%,0%,4%
"","","","",random %,site (Intercept),1%,0%,5%
"","","","",random %,site scale(Period),1%,0%,5%
"","","","",random %,species (Intercept),10%,9%,10%
"","","","",random %,genus (Intercept),7%,6%,6%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),1%,-3%,5%
"","","","",random %,Country scale(Period),1%,-3%,5%
"","","","",random %,year (Intercept),3%,2%,4%
"","","","",random %,Residual,66%,48%,78%
Table S1 - 1e,Escape distance,Gaussian,6369,fixed,(Intercept),0.077,-0.127,0.283
"","","","",fixed,scale(log(SD)),0.478,0.454,0.501
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.027,0.011
"","","","",fixed,scale(log(BodyMass)),0.048,-0.021,0.114
"","","","",fixed,scale(sin(rad)),0.021,-0.006,0.048
"","","","",fixed,scale(cos(rad)),0.024,0.002,0.047
"","","","",fixed,scale(Temp),-0.006,-0.033,0.022
"","","","",fixed,scale(Period),-0.029,-0.204,0.142
"","","","",random %,species within day & year (Intercept),7%,6%,8%
"","","","",random %,species within site (Intercept),5%,4%,5%
"","","","",random %,site (Intercept),6%,6%,6%
"","","","",random %,species (Intercept),8%,8%,9%
"","","","",random %,genus (Intercept),6%,5%,7%
"","","","",random %,weekday (Intercept),0%,0%,1%
"","","","",random %,Country (Intercept),1%,-3%,5%
"","","","",random %,Country scale(Period),1%,-3%,5%
"","","","",random %,year (Intercept),2%,1%,4%
"","","","",random %,Residual,62%,52%,71%
Table S1 - 2a,Escape distance,Gaussian,5261,fixed,(Intercept),0.161,-0.185,0.509
"","","","",fixed,scale(log(SD)),0.463,0.437,0.49
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.011
"","","","",fixed,scale(log(BodyMass)),-0.016,-0.123,0.095
"","","","",fixed,scale(sin(rad)),0.027,-0.002,0.057
"","","","",fixed,scale(cos(rad)),0.036,0.011,0.061
"","","","",fixed,scale(Temp),-0.005,-0.039,0.026
"","","","",fixed,scale(Period),-0.035,-0.204,0.133
"","","","",random %,species within day & year (Intercept),7%,4%,9%
"","","","",random %,species within site (Intercept),3%,2%,4%
"","","","",random %,site (Intercept),1%,-1%,2%
"","","","",random %,site scale(Period),1%,-1%,2%
"","","","",random %,species (Intercept),10%,8%,9%
"","","","",random %,genus (Intercept),5%,4%,4%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),3%,-5%,20%
"","","","",random %,Country scale(Period),3%,-5%,20%
"","","","",random %,year (Intercept),3%,2%,3%
"","","","",random %,Residual,64%,34%,84%
Table S1 - 2b,Escape distance,Gaussian,5261,fixed,(Intercept),0.164,-0.171,0.507
"","","","",fixed,scale(log(SD)),0.462,0.435,0.489
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.029,0.01
"","","","",fixed,scale(log(BodyMass)),-0.011,-0.122,0.096
"","","","",fixed,scale(sin(rad)),0.028,-0.003,0.057
"","","","",fixed,scale(cos(rad)),0.036,0.011,0.061
"","","","",fixed,scale(Temp),-0.005,-0.037,0.028
"","","","",fixed,scale(Period),-0.036,-0.204,0.146
"","","","",random %,species within day & year (Intercept),9%,4%,11%
"","","","",random %,species within site (Intercept),0%,0%,2%
"","","","",random %,species within site scale(Period),0%,0%,2%
"","","","",random %,site (Intercept),1%,-1%,2%
"","","","",random %,site scale(Period),1%,-1%,2%
"","","","",random %,species (Intercept),0%,-1%,5%
"","","","",random %,species scale(Period),0%,-1%,5%
"","","","",random %,genus (Intercept),0%,0%,6%
"","","","",random %,genus scale(Period),0%,0%,6%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),3%,-6%,17%
"","","","",random %,Country scale(Period),3%,-6%,17%
"","","","",random %,year (Intercept),4%,2%,3%
"","","","",random %,Residual,78%,30%,100%
Table S1 - 2c,Escape distance,Gaussian,5261,fixed,(Intercept),0.153,-0.197,0.513
"","","","",fixed,scale(log(SD)),0.464,0.437,0.492
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.03,0.011
"","","","",fixed,scale(log(BodyMass)),-0.01,-0.114,0.101
"","","","",fixed,scale(sin(rad)),0.026,-0.002,0.055
"","","","",fixed,scale(cos(rad)),0.032,0.007,0.057
"","","","",fixed,scale(Temp),-0.012,-0.044,0.02
"","","","",fixed,scale(Period),-0.031,-0.213,0.147
"","","","",random %,species within day & year (Intercept),7%,5%,9%
"","","","",random %,species within site (Intercept),3%,2%,4%
"","","","",random %,site (Intercept),4%,3%,4%
"","","","",random %,species (Intercept),8%,7%,7%
"","","","",random %,genus (Intercept),6%,5%,6%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),2%,-6%,17%
"","","","",random %,Country scale(Period),2%,-6%,17%
"","","","",random %,year (Intercept),3%,2%,4%
"","","","",random %,Residual,63%,39%,81%
Table S1 - 3a,Escape distance,Gaussian,5107,fixed,(Intercept),0.137,-0.205,0.493
"","","","",fixed,scale(log(SD)),0.462,0.435,0.488
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01
"","","","",fixed,scale(log(BodyMass)),0.003,-0.104,0.114
"","","","",fixed,scale(sin(rad)),0.028,-0.003,0.058
"","","","",fixed,scale(cos(rad)),0.034,0.01,0.06
"","","","",fixed,scale(Temp),-0.006,-0.04,0.028
"","","","",fixed,scale(Period),-0.032,-0.207,0.142
"","","","",random %,species within day & year (Intercept),7%,4%,9%
"","","","",random %,species within site (Intercept),3%,2%,4%
"","","","",random %,site (Intercept),1%,-1%,2%
"","","","",random %,site scale(Period),1%,-1%,2%
"","","","",random %,species (Intercept),21%,16%,18%
"","","","",random %,genus (Intercept),0%,0%,0%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),2%,-5%,19%
"","","","",random %,Country scale(Period),2%,-5%,19%
"","","","",random %,year (Intercept),3%,2%,3%
"","","","",random %,Residual,60%,32%,78%
Table S1 - 3b,Escape distance,Gaussian,5107,fixed,(Intercept),0.139,-0.21,0.484
"","","","",fixed,scale(log(SD)),0.461,0.433,0.487
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01
"","","","",fixed,scale(log(BodyMass)),0.011,-0.102,0.126
"","","","",fixed,scale(sin(rad)),0.027,-0.002,0.057
"","","","",fixed,scale(cos(rad)),0.034,0.009,0.06
"","","","",fixed,scale(Temp),-0.006,-0.04,0.028
"","","","",fixed,scale(Period),-0.03,-0.201,0.142
"","","","",random %,species within day & year (Intercept),9%,3%,11%
"","","","",random %,species within site (Intercept),0%,0%,2%
"","","","",random %,species within site scale(Period),0%,0%,2%
"","","","",random %,site (Intercept),1%,-1%,2%
"","","","",random %,site scale(Period),1%,-1%,2%
"","","","",random %,species (Intercept),0%,-1%,9%
"","","","",random %,species scale(Period),0%,-1%,9%
"","","","",random %,genus (Intercept),0%,0%,3%
"","","","",random %,genus scale(Period),0%,0%,3%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),3%,-5%,16%
"","","","",random %,Country scale(Period),3%,-5%,16%
"","","","",random %,year (Intercept),4%,2%,3%
"","","","",random %,Residual,78%,28%,100%
Table S1 - 3c,Escape distance,Gaussian,5107,fixed,(Intercept),0.127,-0.238,0.486
"","","","",fixed,scale(log(SD)),0.463,0.437,0.49
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01
"","","","",fixed,scale(log(BodyMass)),0.005,-0.101,0.113
"","","","",fixed,scale(sin(rad)),0.026,-0.003,0.056
"","","","",fixed,scale(cos(rad)),0.029,0.004,0.053
"","","","",fixed,scale(Temp),-0.014,-0.046,0.018
"","","","",fixed,scale(Period),-0.027,-0.205,0.15
"","","","",random %,species within day & year (Intercept),7%,5%,9%
"","","","",random %,species within site (Intercept),3%,2%,4%
"","","","",random %,site (Intercept),5%,3%,5%
"","","","",random %,species (Intercept),15%,11%,15%
"","","","",random %,genus (Intercept),0%,0%,0%
"","","","",random %,weekday (Intercept),0%,0%,0%
"","","","",random %,Country (Intercept),2%,-6%,18%
"","","","",random %,Country scale(Period),2%,-6%,18%
"","","","",random %,year (Intercept),3%,2%,4%
"","","","",random %,Residual,62%,38%,78%
