model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",random %,sp_loc (Intercept),4%,3%,4%,"",""
"","","","",random %,IDLocality (Intercept),3%,0%,5%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,0%,5%,"",""
"","","","",random %,Species (Intercept),10%,9%,10%,"",""
"","","","",random %,genus (Intercept),0%,0%,3%,"",""
"","","","",random %,genus scale(StringencyIndex),0%,0%,3%,"",""
"","","","",random %,Country (Intercept),13%,9%,17%,"",""
"","","","",random %,Residual,64%,51%,75%,"",""
Table S2 - 2b,Stringency Index,Gaussian,3573,fixed,(Intercept),-0.14,-0.424,0.145,0.225813996601771,0.52422415811444
"","","","",fixed,scale(Year),0.017,-0.029,0.063,"",""
"","","","",fixed,scale(log(SD)),0.475,0.442,0.508,"",""
"","","","",fixed,scale(log(FlockSize)),0.004,-0.023,0.031,"",""
"","","","",fixed,scale(log(BodyMass)),-0.023,-0.102,0.053,"",""
"","","","",fixed,scale(sin(rad)),-0.012,-0.055,0.03,"",""
"","","","",fixed,scale(cos(rad)),0.003,-0.031,0.036,"",""
"","","","",fixed,scale(Temp),0.002,-0.038,0.045,"",""
"","","","",fixed,scale(StringencyIndex),-0.013,-0.11,0.086,"",""
"","","","",random %,sp_day_year (Intercept),4%,3%,4%,"",""
"","","","",random %,sp_loc (Intercept),4%,3%,4%,"",""
"","","","",random %,IDLocality (Intercept),2%,-1%,5%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),2%,-1%,5%,"",""
"","","","",random %,Species (Intercept),10%,9%,11%,"",""
"","","","",random %,genus (Intercept),2%,2%,2%,"",""
"","","","",random %,Country (Intercept),14%,9%,21%,"",""
"","","","",random %,Residual,62%,50%,73%,"",""
Table S2 - 2c,Stringency Index,Gaussian,3573,fixed,(Intercept),-0.09,-0.25,0.069,0.275026699788493,0.389671808244517
"","","","",fixed,scale(Year),-0.005,-0.05,0.041,"",""
"","","","",fixed,scale(log(SD)),0.539,0.507,0.57,"",""
"","","","",fixed,scale(log(FlockSize)),-0.019,-0.046,0.006,"",""
"","","","",fixed,scale(log(BodyMass)),-0.026,-0.055,0.003,"",""
"","","","",fixed,scale(sin(rad)),-0.027,-0.069,0.016,"",""
"","","","",fixed,scale(cos(rad)),0.01,-0.025,0.045,"",""
"","","","",fixed,scale(Temp),0.013,-0.028,0.054,"",""
"","","","",fixed,scale(StringencyIndex),0.021,-0.073,0.114,"",""
"","","","",random %,IDLocality (Intercept),3%,-1%,9%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,-1%,9%,"",""
"","","","",random %,Country (Intercept),4%,1%,8%,"",""
"","","","",random %,Residual,91%,75%,100%,"",""
Table S2 - 3a,Stringency Index,Gaussian,3425,fixed,(Intercept),-0.127,-0.436,0.177,"",""
"","","","",fixed,scale(Year),0.02,-0.027,0.066,"",""
"","","","",fixed,scale(log(SD)),0.474,0.441,0.507,"",""
"","","","",fixed,scale(log(FlockSize)),0.003,-0.023,0.03,"",""
"","","","",fixed,scale(log(BodyMass)),0.021,-0.063,0.109,"",""
"","","","",fixed,scale(sin(rad)),-0.007,-0.048,0.037,"",""
"","","","",fixed,scale(cos(rad)),-0.005,-0.039,0.029,"",""
"","","","",fixed,scale(Temp),-0.001,-0.043,0.042,"",""
"","","","",fixed,scale(StringencyIndex),-0.017,-0.118,0.091,"",""
"","","","",random %,sp_day_year (Intercept),3%,3%,4%,"",""
"","","","",random %,sp_loc (Intercept),4%,3%,4%,"",""
"","","","",random %,IDLocality (Intercept),3%,0%,5%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,0%,5%,"",""
"","","","",random %,Species (Intercept),10%,9%,11%,"",""
"","","","",random %,genus (Intercept),0%,0%,3%,"",""
"","","","",random %,genus scale(StringencyIndex),0%,0%,3%,"",""
"","","","",random %,Country (Intercept),15%,10%,18%,"",""
"","","","",random %,Residual,62%,48%,74%,"",""
Table S2 - 3b,Stringency Index,Gaussian,3425,fixed,(Intercept),-0.127,-0.437,0.184,0.227718054574566,0.5367474257861
"","","","",fixed,scale(Year),0.02,-0.027,0.066,"",""
"","","","",fixed,scale(log(SD)),0.473,0.44,0.506,"",""
"","","","",fixed,scale(log(FlockSize)),0.003,-0.024,0.03,"",""
"","","","",fixed,scale(log(BodyMass)),0.024,-0.067,0.112,"",""
"","","","",fixed,scale(sin(rad)),-0.007,-0.051,0.037,"",""
"","","","",fixed,scale(cos(rad)),-0.006,-0.04,0.029,"",""
"","","","",fixed,scale(Temp),-0.001,-0.045,0.041,"",""
"","","","",fixed,scale(StringencyIndex),-0.017,-0.12,0.085,"",""
"","","","",random %,sp_day_year (Intercept),3%,3%,4%,"",""
"","","","",random %,sp_loc (Intercept),4%,4%,5%,"",""
"","","","",random %,IDLocality (Intercept),3%,0%,5%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,0%,5%,"",""
"","","","",random %,Species (Intercept),8%,7%,9%,"",""
"","","","",random %,genus (Intercept),3%,2%,4%,"",""
"","","","",random %,Country (Intercept),15%,10%,21%,"",""
"","","","",random %,Residual,61%,50%,73%,"",""
Table S2 - 3c,Stringency Index,Gaussian,3425,fixed,(Intercept),-0.092,-0.255,0.073,0.274196946940423,0.396267880642619
"","","","",fixed,scale(Year),-0.001,-0.049,0.046,"",""
"","","","",fixed,scale(log(SD)),0.538,0.504,0.571,"",""
"","","","",fixed,scale(log(FlockSize)),-0.021,-0.048,0.007,"",""
"","","","",fixed,scale(log(BodyMass)),-0.02,-0.049,0.009,"",""
"","","","",fixed,scale(sin(rad)),-0.02,-0.064,0.025,"",""
"","","","",fixed,scale(cos(rad)),0.002,-0.034,0.038,"",""
"","","","",fixed,scale(Temp),0.008,-0.035,0.051,"",""
"","","","",fixed,scale(StringencyIndex),0.019,-0.079,0.117,"",""
"","","","",random %,IDLocality (Intercept),3%,0%,9%,"",""
"","","","",random %,IDLocality scale(StringencyIndex),3%,0%,9%,"",""
"","","","",random %,Country (Intercept),4%,1%,8%,"",""
"","","","",random %,Residual,90%,74%,100%,"",""
