model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",fixed,cosine of radians,-0.163,-0.414,0.091,"",""
"","","","",fixed,temperaturre,-0.175,-0.273,-0.077,"",""
"","","","",fixed,Google Mobility,0.004,-0.117,0.125,"",""
"","","","",random %,species within day & year (Intercept),13%,13%,14%,"",""
"","","","",random %,species (Intercept),7%,5%,10%,"",""
"","","","",random %,genus (Intercept),0%,0%,0%,"",""
"","","","",random %,Residual,79%,76%,82%,"",""
Table S_FID_g - PL b,Escape distancey,Gaussian,329,fixed,(Intercept),0.001,-0.202,0.204,"",""
"","","","",fixed,year,-0.378,-0.534,-0.222,"",""
"","","","",fixed,flock size (ln),0.059,-0.037,0.158,"",""
"","","","",fixed,body mass (ln),-0.023,-0.178,0.126,"",""
"","","","",fixed,sine of radians,-0.009,-0.31,0.284,"",""
"","","","",fixed,cosine of radians,-0.036,-0.334,0.262,"",""
"","","","",fixed,temperaturre,-0.159,-0.272,-0.045,"",""
"","","","",fixed,Google Mobility,0.054,-0.087,0.197,"",""
"","","","",random %,species within day & year (Intercept),7%,7%,7%,"",""
"","","","",random %,species (Intercept),21%,16%,26%,"",""
"","","","",random %,genus (Intercept),0%,0%,0%,"",""
"","","","",random %,Residual,72%,67%,77%,"",""
Table S_FID_g - CZ a,Escape distance,Gaussian,1054,fixed,(Intercept),0.227,0.02,0.438,0.190444878110051,0.480268056269237
"","","","",fixed,starting distance (ln)),0.345,0.287,0.402,"",""
"","","","",fixed,flock size (ln),0.01,-0.042,0.059,"",""
"","","","",fixed,body mass (ln),0.187,0.029,0.341,"",""
"","","","",fixed,sine of radians,0.062,-0.006,0.132,"",""
"","","","",fixed,cosine of radians,0.034,-0.022,0.089,"",""
"","","","",fixed,temperaturre,0.065,-0.006,0.135,"",""
"","","","",fixed,Google Mobility,-0.089,-0.164,-0.016,"",""
"","","","",random %,species within site (Intercept),5%,5%,5%,"",""
"","","","",random %,species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random %,species (Intercept),14%,11%,17%,"",""
"","","","",random %,genus (Intercept),14%,10%,18%,"",""
"","","","",random %,site (Intercept),5%,4%,6%,"",""
"","","","",random %,Residual,61%,54%,69%,"",""
Table S_FID_g - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.229,0.025,0.436,0.190444878110051,0.480268056269237
"","","","",fixed,starting distance (ln)),0.344,0.284,0.404,"",""
"","","","",fixed,flock size (ln),0.009,-0.04,0.059,"",""
"","","","",fixed,body mass (ln),0.182,0.031,0.343,"",""
"","","","",fixed,sine of radians,0.062,-0.009,0.131,"",""
"","","","",fixed,cosine of radians,0.035,-0.021,0.09,"",""
"","","","",fixed,temperaturre,0.065,-0.002,0.136,"",""
"","","","",fixed,Google Mobility,-0.091,-0.163,-0.018,"",""
"","","","",random %,species within site (Intercept),5%,5%,5%,"",""
"","","","",random %,species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random %,species (Intercept),14%,12%,17%,"",""
"","","","",random %,genus (Intercept),14%,11%,18%,"",""
"","","","",random %,site (Intercept),5%,4%,6%,"",""
"","","","",random %,Residual,61%,54%,69%,"",""
Table S_FID_g - HU a,Escape distance,Gaussian,874,fixed,(Intercept),0.085,-0.183,0.35,"",""
"","","","",fixed,year,0.19,0.078,0.302,"",""
"","","","",fixed,starting distance (ln)),0.506,0.443,0.567,"",""
"","","","",fixed,flock size (ln),0.001,-0.053,0.053,"",""
"","","","",fixed,body mass (ln),0,-0.142,0.139,"",""
"","","","",fixed,sine of radians,-0.122,-0.191,-0.057,"",""
"","","","",fixed,cosine of radians,0.024,-0.041,0.088,"",""
"","","","",fixed,temperaturre,-0.029,-0.109,0.05,"",""
"","","","",fixed,Google Mobility,-0.028,-0.128,0.07,"",""
"","","","",random %,species within day & year (Intercept),3%,3%,3%,"",""
"","","","",random %,species within site (Intercept),0%,0%,0%,"",""
"","","","",random %,species (Intercept),1%,1%,1%,"",""
"","","","",random %,genus (Intercept),11%,7%,15%,"",""
"","","","",random %,site (Intercept),9%,6%,13%,"",""
"","","","",random %,Residual,75%,67%,82%,"",""
Table S_FID_g - HU b,Escape distance,Gaussian,874,fixed,(Intercept),0.092,-0.353,0.52,"",""
"","","","",fixed,year,0.321,0.187,0.457,"",""
"","","","",fixed,flock size (ln),0,-0.058,0.059,"",""
"","","","",fixed,body mass (ln),0.284,0.066,0.511,"",""
"","","","",fixed,sine of radians,-0.157,-0.233,-0.08,"",""
"","","","",fixed,cosine of radians,0.033,-0.039,0.104,"",""
"","","","",fixed,temperaturre,-0.046,-0.138,0.052,"",""
"","","","",fixed,Google Mobility,-0.107,-0.23,0.014,"",""
"","","","",random %,species within day & year (Intercept),5%,5%,5%,"",""
"","","","",random %,species within site (Intercept),0%,0%,0%,"",""
"","","","",random %,species (Intercept),1%,1%,2%,"",""
"","","","",random %,genus (Intercept),24%,18%,30%,"",""
"","","","",random %,site (Intercept),16%,13%,18%,"",""
"","","","",random %,Residual,54%,45%,63%,"",""
Table S_FID_g - AU a,Escape distance,Gaussian,1065,fixed,(Intercept),-0.056,-0.197,0.086,0.262794628106304,0.54615489367028
"","","","",fixed,year,0.028,-0.034,0.092,"",""
"","","","",fixed,starting distance (ln)),0.499,0.448,0.552,"",""
"","","","",fixed,flock size (ln),0.025,-0.024,0.074,"",""
"","","","",fixed,body mass (ln),-0.05,-0.145,0.044,"",""
"","","","",fixed,sine of radians,-0.044,-0.117,0.028,"",""
"","","","",fixed,cosine of radians,-0.043,-0.112,0.028,"",""
"","","","",fixed,temperaturre,0.019,-0.038,0.076,"",""
"","","","",fixed,Google Mobility,-0.035,-0.092,0.021,"",""
"","","","",random %,species within day & year (Intercept),6%,6%,6%,"",""
"","","","",random %,species within site (Intercept),12%,12%,12%,"",""
"","","","",random %,species (Intercept),12%,10%,13%,"",""
"","","","",random %,genus (Intercept),2%,1%,2%,"",""
"","","","",random %,site (Intercept),8%,6%,10%,"",""
"","","","",random %,Residual,61%,57%,65%,"",""
Table S_FID_g - AU b,Escape distancey,Gaussian,1065,fixed,(Intercept),-0.108,-0.302,0.08,0.013528236337922,0.475313230905297
"","","","",fixed,year,0.082,0.01,0.157,"",""
"","","","",fixed,flock size (ln),0.055,0,0.11,"",""
"","","","",fixed,body mass (ln),0.068,-0.059,0.196,"",""
"","","","",fixed,sine of radians,-0.031,-0.116,0.054,"",""
"","","","",fixed,cosine of radians,-0.017,-0.097,0.063,"",""
"","","","",fixed,temperaturre,0.007,-0.056,0.073,"",""
"","","","",fixed,Google Mobility,-0.018,-0.082,0.045,"",""
"","","","",random %,species within day & year (Intercept),7%,7%,7%,"",""
"","","","",random %,species within site (Intercept),11%,10%,11%,"",""
"","","","",random %,species (Intercept),14%,12%,16%,"",""
"","","","",random %,genus (Intercept),6%,5%,7%,"",""
"","","","",random %,site (Intercept),10%,8%,12%,"",""
"","","","",random %,Residual,52%,48%,58%,"",""
