model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",fixed,flock size (ln),-0.001,-0.054,0.052
"","","","",fixed,body mass (ln),0.003,-0.142,0.149
"","","","",fixed,time (sine of radians),-0.126,-0.195,-0.057
"","","","",fixed,time (cosine of radians),0.024,-0.051,0.101
"","","","",fixed,temperaturre,-0.018,-0.124,0.082
"","","","",fixed,stringency index,0.031,-0.121,0.179
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species within site (Intercept),0%,0%,0%
"","","","",random,species (Intercept),1%,1%,1%
"","","","",random,genus (Intercept),12%,8%,16%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,site (Intercept),10%,6%,13%
"","","","",random,Residual,74%,65%,83%
Table S4 - HU b,Escape distance,Gaussian,874,fixed,(Intercept),0.06,-0.431,0.552
"","","","",fixed,year,0.205,0.073,0.334
"","","","",fixed,flock size (ln),0.002,-0.058,0.063
"","","","",fixed,body mass (ln),0.299,0.067,0.521
"","","","",fixed,time (sine of radians),-0.148,-0.226,-0.069
"","","","",fixed,time (cosine of radians),0.028,-0.058,0.114
"","","","",fixed,temperaturre,-0.051,-0.173,0.071
"","","","",fixed,stringency index,-0.005,-0.175,0.168
"","","","",random,species within day & year (Intercept),3%,3%,4%
"","","","",random,species within site (Intercept),0%,0%,0%
"","","","",random,species (Intercept),1%,1%,1%
"","","","",random,genus (Intercept),27%,20%,32%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,site (Intercept),17%,14%,19%
"","","","",random,Residual,51%,42%,61%
Table S4 - AU a,Escape distance,Gaussian,1065,fixed,(Intercept),-0.05,-0.187,0.092
"","","","",fixed,year,0.037,-0.027,0.101
"","","","",fixed,starting distance (ln)),0.496,0.442,0.549
"","","","",fixed,flock size (ln),0.024,-0.024,0.074
"","","","",fixed,body mass (ln),-0.05,-0.148,0.042
"","","","",fixed,time (sine of radians),-0.037,-0.11,0.036
"","","","",fixed,time (cosine of radians),-0.051,-0.118,0.015
"","","","",fixed,temperaturre,0.033,-0.027,0.097
"","","","",fixed,stringency index,0.058,-0.009,0.12
"","","","",random,species within day & year (Intercept),6%,6%,6%
"","","","",random,species within site (Intercept),12%,12%,12%
"","","","",random,species (Intercept),11%,9%,12%
"","","","",random,genus (Intercept),2%,2%,3%
"","","","",random,site (Intercept),7%,5%,9%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,62%,58%,66%
Table S4 - AU b,Escape distancey,Gaussian,1065,fixed,(Intercept),-0.102,-0.285,0.083
"","","","",fixed,year,0.101,0.028,0.176
"","","","",fixed,flock size (ln),0.055,-0.001,0.112
"","","","",fixed,body mass (ln),0.063,-0.065,0.185
"","","","",fixed,time (sine of radians),-0.01,-0.096,0.072
"","","","",fixed,time (cosine of radians),-0.021,-0.099,0.055
"","","","",fixed,temperaturre,0.04,-0.032,0.112
"","","","",fixed,stringency index,0.09,0.014,0.166
"","","","",random,species within day & year (Intercept),7%,7%,8%
"","","","",random,species within site (Intercept),11%,11%,11%
"","","","",random,species (Intercept),13%,11%,14%
"","","","",random,genus (Intercept),7%,6%,8%
"","","","",random,site (Intercept),8%,6%,10%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,54%,49%,59%
