model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
Table S5 - full a,Escape distance,Gaussian,3644,fixed,Google Mobility (slope) | (Intercept),0.023,-0.098,0.141,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.018,-0.155,0.115,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.088,-0.232,0.052,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),15%,14%,15%,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),3%,3%,3%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),17%,14%,20%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),3%,1%,4%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,62%,57%,67%,"",""
Table S5 - PL a,Escape distance,Gaussian,329,fixed,Google Mobility (slope) | (Intercept),0.028,-0.198,0.259,"",""
"","","","",fixed,Google Mobility (slope) | year,-0.25,-0.407,-0.088,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.532,0.447,0.617,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.03,-0.112,0.05,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),-0.082,-0.19,0.024,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.135,-0.135,0.402,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),-0.252,-0.517,0.013,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.201,-0.306,-0.1,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,0,-0.14,0.14,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),7%,6%,6%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),9%,7%,10%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),11%,5%,16%,"",""
"","","","",random,Google Mobility (slope) | Residual,74%,67%,82%,"",""
Table S5 - PL b,Escape distancey,Gaussian,329,fixed,Google Mobility (slope) | (Intercept),0.018,-0.242,0.271,"",""
"","","","",fixed,Google Mobility (slope) | year,-0.4,-0.584,-0.225,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.052,-0.042,0.149,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),-0.008,-0.159,0.137,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.02,-0.328,0.284,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),-0.087,-0.406,0.215,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.189,-0.311,-0.071,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,0.043,-0.114,0.203,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),5%,4%,5%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),21%,17%,25%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),5%,2%,8%,"",""
"","","","",random,Google Mobility (slope) | Residual,70%,63%,77%,"",""
Table S5 - CZ a,Escape distance,Gaussian,1054,fixed,Google Mobility (slope) | (Intercept),0.229,0.025,0.438,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.344,0.286,0.403,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.01,-0.04,0.061,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.184,0.025,0.348,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.063,-0.008,0.133,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.034,-0.022,0.09,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.066,-0.005,0.137,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.09,-0.162,-0.018,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),5%,5%,5%,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),14%,11%,16%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),14%,10%,18%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),6%,4%,7%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,61%,55%,69%,"",""
Table S5 - CZ b,Escape distance,Gaussian,1054,fixed,Google Mobility (slope) | (Intercept),0.227,0.02,0.438,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.344,0.281,0.402,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.01,-0.039,0.059,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.184,0.031,0.339,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),0.063,-0.008,0.13,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.036,-0.021,0.092,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.065,-0.007,0.134,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.09,-0.161,-0.017,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),5%,5%,5%,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),1%,0%,1%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),14%,11%,16%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),14%,10%,18%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),6%,4%,7%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,61%,55%,69%,"",""
Table S5 - HU a,Escape distance,Gaussian,874,fixed,Google Mobility (slope) | (Intercept),0.074,-0.211,0.371,"",""
"","","","",fixed,Google Mobility (slope) | year,0.167,0.055,0.278,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.502,0.442,0.564,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.001,-0.053,0.051,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.001,-0.142,0.141,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.126,-0.193,-0.059,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.017,-0.052,0.083,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.033,-0.111,0.045,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.027,-0.133,0.077,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),2%,2%,2%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),1%,1%,1%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),12%,8%,16%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),1%,0%,2%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),9%,5%,13%,"",""
"","","","",random,Google Mobility (slope) | Residual,74%,65%,83%,"",""
Table S5 - HU b,Escape distance,Gaussian,874,fixed,Google Mobility (slope) | (Intercept),0.062,-0.411,0.527,0.144833480124391,0.506614696138534
"","","","",fixed,Google Mobility (slope) | year,0.314,0.188,0.441,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),-0.005,-0.064,0.056,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.287,0.066,0.503,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.166,-0.242,-0.088,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),0.035,-0.035,0.107,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,-0.049,-0.145,0.045,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.146,-0.269,-0.022,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),2%,2%,2%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),1%,1%,1%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),1%,1%,2%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),26%,20%,32%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),16%,13%,19%,"",""
"","","","",random,Google Mobility (slope) | Residual,52%,42%,63%,"",""
Table S5 - AU a,Escape distance,Gaussian,1065,fixed,Google Mobility (slope) | (Intercept),-0.053,-0.192,0.097,"",""
"","","","",fixed,Google Mobility (slope) | year,0.028,-0.035,0.091,"",""
"","","","",fixed,Google Mobility (slope) | starting distance (ln)),0.5,0.446,0.552,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.025,-0.022,0.072,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),-0.049,-0.148,0.045,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.044,-0.117,0.03,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),-0.044,-0.111,0.026,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.017,-0.039,0.076,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.036,-0.093,0.02,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),6%,6%,6%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),12%,12%,12%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),11%,9%,13%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),2%,2%,2%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),8%,6%,10%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,61%,56%,65%,"",""
Table S5 - AU b,Escape distancey,Gaussian,1065,fixed,Google Mobility (slope) | (Intercept),-0.103,-0.296,0.095,"",""
"","","","",fixed,Google Mobility (slope) | year,0.087,0.013,0.163,"",""
"","","","",fixed,Google Mobility (slope) | flock size (ln),0.054,-0.001,0.11,"",""
"","","","",fixed,Google Mobility (slope) | body mass (ln),0.066,-0.058,0.188,"",""
"","","","",fixed,Google Mobility (slope) | time (sine of radians),-0.028,-0.114,0.057,"",""
"","","","",fixed,Google Mobility (slope) | time (cosine of radians),-0.019,-0.099,0.062,"",""
"","","","",fixed,Google Mobility (slope) | temperaturre,0.01,-0.059,0.079,"",""
"","","","",fixed,Google Mobility (slope) | Google Mobility,-0.027,-0.097,0.041,"",""
"","","","",random,Google Mobility (slope) | species within day & year (Intercept),7%,7%,7%,"",""
"","","","",random,Google Mobility (slope) | species within site (Intercept),11%,11%,11%,"",""
"","","","",random,Google Mobility (slope) | species (Intercept),13%,11%,15%,"",""
"","","","",random,Google Mobility (slope) | genus (Intercept),6%,5%,8%,"",""
"","","","",random,Google Mobility (slope) | site (Intercept),10%,8%,12%,"",""
"","","","",random,Google Mobility (slope) | weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Google Mobility (slope) | Residual,52%,48%,57%,"",""
