model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",fixed,stringency index,0.019,-0.152,0.191
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),4%,3%,7%
"","","","",random,site (Intercept),7%,5%,9%
"","","","",random,species (Intercept),11%,8%,13%
"","","","",random,genus (Intercept),0%,-1%,2%
"","","","",random,stringency index (slope) | genus,0%,-1%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),3%,-20%,19%
"","","","",random,stringency index (slope) | country,3%,-20%,19%
"","","","",random,Residual,67%,38%,106%
Table S2b - 2c,Escape distance,Gaussian,3573,fixed,(Intercept),-0.11,-0.283,0.067
"","","","",fixed,year,-0.001,-0.05,0.047
"","","","",fixed,starting distance (ln),0.543,0.512,0.576
"","","","",fixed,flock size (ln),-0.018,-0.045,0.009
"","","","",fixed,body mass (ln),-0.027,-0.056,0.001
"","","","",fixed,time (sine of radians),-0.038,-0.079,0.003
"","","","",fixed,time (cosine of radians),0.001,-0.035,0.039
"","","","",fixed,temperaturre,0.003,-0.038,0.045
"","","","",fixed,stringency index,0.024,-0.142,0.188
"","","","",random,site (Intercept),10%,10%,10%
"","","","",random,country (Intercept),1%,-7%,8%
"","","","",random,stringency index (slope) | country,1%,-7%,8%
"","","","",random,Residual,88%,73%,105%
Table S2b - 3a,Escape distance,Gaussian,3425,fixed,(Intercept),-0.14,-0.461,0.166
"","","","",fixed,year,0.027,-0.022,0.077
"","","","",fixed,starting distance (ln),0.481,0.447,0.514
"","","","",fixed,flock size (ln),0.002,-0.025,0.029
"","","","",fixed,body mass (ln),0.023,-0.067,0.11
"","","","",fixed,time (sine of radians),-0.012,-0.053,0.031
"","","","",fixed,time (cosine of radians),-0.009,-0.046,0.029
"","","","",fixed,temperaturre,-0.011,-0.056,0.032
"","","","",fixed,stringency index,0.016,-0.151,0.191
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),5%,3%,7%
"","","","",random,site (Intercept),8%,5%,10%
"","","","",random,species (Intercept),9%,7%,10%
"","","","",random,genus (Intercept),3%,3%,3%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),2%,-21%,20%
"","","","",random,stringency index (slope) | country,2%,-21%,20%
"","","","",random,Residual,67%,39%,105%
Table S2b - 3b,Escape distance,Gaussian,3425,fixed,(Intercept),-0.135,-0.445,0.179
"","","","",fixed,year,0.027,-0.023,0.077
"","","","",fixed,starting distance (ln),0.481,0.448,0.514
"","","","",fixed,flock size (ln),0.001,-0.025,0.029
"","","","",fixed,body mass (ln),0.02,-0.064,0.11
"","","","",fixed,time (sine of radians),-0.012,-0.055,0.031
"","","","",fixed,time (cosine of radians),-0.009,-0.046,0.028
"","","","",fixed,temperaturre,-0.011,-0.054,0.031
"","","","",fixed,stringency index,0.015,-0.156,0.183
"","","","",random,species within day & year (Intercept),5%,3%,7%
"","","","",random,species within site (Intercept),4%,3%,7%
"","","","",random,site (Intercept),8%,5%,11%
"","","","",random,species (Intercept),10%,7%,11%
"","","","",random,genus (Intercept),0%,0%,2%
"","","","",random,stringency index (slope) | genus,0%,0%,2%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,country (Intercept),3%,-23%,21%
"","","","",random,stringency index (slope) | country,3%,-23%,21%
"","","","",random,Residual,67%,36%,110%
Table S2b - 3c,Escape distance,Gaussian,3425,fixed,(Intercept),-0.107,-0.291,0.071
"","","","",fixed,year,0.005,-0.043,0.055
"","","","",fixed,starting distance (ln),0.541,0.508,0.574
"","","","",fixed,flock size (ln),-0.019,-0.047,0.008
"","","","",fixed,body mass (ln),-0.019,-0.049,0.011
"","","","",fixed,time (sine of radians),-0.03,-0.073,0.011
"","","","",fixed,time (cosine of radians),-0.001,-0.039,0.037
"","","","",fixed,temperaturre,-0.002,-0.046,0.041
"","","","",fixed,stringency index,0.02,-0.137,0.182
"","","","",random,site (Intercept),11%,11%,11%
"","","","",random,country (Intercept),1%,-8%,8%
"","","","",random,stringency index (slope) | country,1%,-8%,8%
"","","","",random,Residual,87%,73%,105%
