model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",fixed,body mass (ln),-0.169,-0.306,-0.034,"",""
"","","","",fixed,time (sine of radians),-0.112,-0.299,0.073,"",""
"","","","",fixed,time (cosine of radians),0.042,-0.104,0.19,"",""
"","","","",fixed,temperaturre,-0.069,-0.196,0.057,"",""
"","","","",fixed,# of humans present,-0.033,-0.161,0.094,"",""
"","","","",random,species within day & year (Intercept),18%,17%,18%,"",""
"","","","",random,species (Intercept),12%,9%,14%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,71%,67%,74%,"",""
Table S6 - PL b,Escape distancey,Gaussian,263,fixed,(Intercept),0.269,-0.002,0.55,"",""
"","","","",fixed,flock size (ln),0.017,-0.093,0.131,"",""
"","","","",fixed,body mass (ln),-0.025,-0.251,0.196,"",""
"","","","",fixed,time (sine of radians),-0.098,-0.318,0.124,"",""
"","","","",fixed,time (cosine of radians),0.011,-0.167,0.183,"",""
"","","","",fixed,temperaturre,-0.104,-0.256,0.051,"",""
"","","","",fixed,# of humans present,-0.028,-0.184,0.125,"",""
"","","","",random,species within day & year (Intercept),17%,16%,18%,"",""
"","","","",random,species (Intercept),39%,32%,44%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,44%,39%,50%,"",""
Table S6 - CZ a,Escape distance,Gaussian,1024,fixed,(Intercept),0.218,0.016,0.419,"",""
"","","","",fixed,starting distance (ln)),0.415,0.351,0.478,"",""
"","","","",fixed,flock size (ln),-0.001,-0.048,0.047,"",""
"","","","",fixed,body mass (ln),0.176,0.026,0.326,"",""
"","","","",fixed,time (sine of radians),0.086,-0.037,0.209,"",""
"","","","",fixed,time (cosine of radians),-0.105,-0.228,0.014,"",""
"","","","",fixed,temperaturre,0.047,-0.028,0.12,"",""
"","","","",fixed,# of humans present,-0.059,-0.126,0.007,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),8%,6%,9%,"",""
"","","","",random,genus (Intercept),10%,8%,12%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,68%,"",""
Table S6 - CZ b,Escape distance,Gaussian,1024,fixed,(Intercept),0.216,0.015,0.417,"",""
"","","","",fixed,starting distance (ln)),0.414,0.352,0.478,"",""
"","","","",fixed,flock size (ln),-0.001,-0.047,0.046,"",""
"","","","",fixed,body mass (ln),0.176,0.026,0.326,"",""
"","","","",fixed,time (sine of radians),0.088,-0.036,0.21,"",""
"","","","",fixed,time (cosine of radians),-0.107,-0.23,0.02,"",""
"","","","",fixed,temperaturre,0.047,-0.03,0.119,"",""
"","","","",fixed,# of humans present,-0.06,-0.128,0.007,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),8%,6%,9%,"",""
"","","","",random,genus (Intercept),10%,8%,12%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,68%,"",""
Table S6 - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.089,-0.115,0.289,"",""
"","","","",fixed,year,-0.066,-0.122,-0.006,"",""
"","","","",fixed,starting distance (ln)),0.492,0.447,0.538,"",""
"","","","",fixed,flock size (ln),-0.021,-0.064,0.02,"",""
"","","","",fixed,body mass (ln),-0.063,-0.183,0.068,"",""
"","","","",fixed,time (sine of radians),-0.068,-0.125,-0.013,"",""
"","","","",fixed,time (cosine of radians),0.028,-0.02,0.075,"",""
"","","","",fixed,temperaturre,0.022,-0.036,0.081,"",""
"","","","",fixed,# of humans present,0.006,-0.034,0.047,"",""
"","","","",random,species within day & year (Intercept),9%,9%,9%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),2%,2%,3%,"",""
"","","","",random,genus (Intercept),8%,5%,11%,"",""
"","","","",random,site (Intercept),4%,1%,7%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,76%,68%,82%,"",""
Table S6 - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.067,-0.261,0.404,"",""
"","","","",fixed,year,-0.062,-0.134,0.008,"",""
"","","","",fixed,flock size (ln),-0.02,-0.065,0.028,"",""
"","","","",fixed,body mass (ln),0.197,0.009,0.38,"",""
"","","","",fixed,time (sine of radians),-0.099,-0.165,-0.034,"",""
"","","","",fixed,time (cosine of radians),0.038,-0.017,0.092,"",""
"","","","",fixed,temperaturre,0.028,-0.038,0.095,"",""
"","","","",fixed,# of humans present,0.015,-0.033,0.058,"",""
"","","","",random,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),20%,14%,25%,"",""
"","","","",random,site (Intercept),9%,4%,14%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,58%,48%,69%,"",""
