model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r
"","","","",fixed,starting distance (ln)),0.533,0.448,0.621
"","","","",fixed,flock size (ln),-0.032,-0.114,0.046
"","","","",fixed,body mass (ln),-0.084,-0.193,0.029
"","","","",fixed,time (sine of radians),0.129,-0.135,0.394
"","","","",fixed,time (cosine of radians),-0.243,-0.513,0.017
"","","","",fixed,temperature,-0.193,-0.31,-0.072
"","","","",fixed,Stringency index,0.046,-0.221,0.316
"","","","",random,species within day & year (Intercept),7%,6%,6%
"","","","",random,species (Intercept),9%,7%,10%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,weekday (Intercept),10%,5%,16%
"","","","",random,Residual,75%,67%,82%
Table S1c  - PL b,Escape distancey,Gaussian,329,fixed,(Intercept),0.017,-0.246,0.273
"","","","",fixed,year,-0.341,-0.653,-0.032
"","","","",fixed,flock size (ln),0.053,-0.046,0.149
"","","","",fixed,body mass (ln),-0.011,-0.159,0.14
"","","","",fixed,time (sine of radians),-0.029,-0.346,0.285
"","","","",fixed,time (cosine of radians),-0.08,-0.39,0.235
"","","","",fixed,temperature,-0.184,-0.315,-0.048
"","","","",fixed,Stringency index,0.029,-0.278,0.344
"","","","",random,species within day & year (Intercept),4%,4%,4%
"","","","",random,species (Intercept),21%,17%,25%
"","","","",random,genus (Intercept),0%,0%,0%
"","","","",random,weekday (Intercept),5%,2%,9%
"","","","",random,Residual,69%,62%,77%
Table S1c  - CZ a,Escape distance,Gaussian,1054,fixed,(Intercept),0.21,-0.012,0.429
"","","","",fixed,starting distance (ln)),0.346,0.286,0.406
"","","","",fixed,flock size (ln),0.005,-0.045,0.056
"","","","",fixed,body mass (ln),0.182,0.021,0.337
"","","","",fixed,time (sine of radians),0.064,-0.015,0.14
"","","","",fixed,time (cosine of radians),0.002,-0.072,0.072
"","","","",fixed,temperature,0.023,-0.072,0.12
"","","","",fixed,Stringency index,-0.052,-0.174,0.072
"","","","",random,species within site (Intercept),4%,4%,4%
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species (Intercept),15%,12%,17%
"","","","",random,genus (Intercept),13%,10%,16%
"","","","",random,site (Intercept),4%,3%,5%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,Residual,61%,53%,69%
Table S1c  - CZ b,Escape distance,Gaussian,1054,fixed,(Intercept),0.215,-0.011,0.428
"","","","",fixed,starting distance (ln)),0.346,0.288,0.405
"","","","",fixed,flock size (ln),0.005,-0.046,0.056
"","","","",fixed,body mass (ln),0.181,0.026,0.334
"","","","",fixed,time (sine of radians),0.063,-0.008,0.138
"","","","",fixed,time (cosine of radians),0.001,-0.068,0.075
"","","","",fixed,temperature,0.022,-0.07,0.119
"","","","",fixed,Stringency index,-0.052,-0.172,0.07
"","","","",random,species within site (Intercept),4%,4%,4%
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species (Intercept),15%,12%,17%
"","","","",random,genus (Intercept),13%,10%,17%
"","","","",random,site (Intercept),4%,3%,6%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,Residual,61%,53%,69%
Table S1c  - HU a,Escape distance,Gaussian,874,fixed,(Intercept),0.067,-0.232,0.357
"","","","",fixed,year,0.161,0.049,0.275
"","","","",fixed,starting distance (ln)),0.504,0.446,0.567
"","","","",fixed,flock size (ln),-0.001,-0.054,0.05
"","","","",fixed,body mass (ln),0.003,-0.138,0.149
"","","","",fixed,time (sine of radians),-0.127,-0.194,-0.06
"","","","",fixed,time (cosine of radians),0.023,-0.051,0.1
"","","","",fixed,temperature,-0.02,-0.124,0.082
"","","","",fixed,Stringency index,0.027,-0.12,0.177
"","","","",random,species within day & year (Intercept),2%,2%,2%
"","","","",random,species within site (Intercept),0%,0%,0%
"","","","",random,species (Intercept),1%,1%,1%
"","","","",random,genus (Intercept),12%,8%,16%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,site (Intercept),10%,6%,14%
"","","","",random,Residual,74%,65%,83%
Table S1c  - HU b,Escape distance,Gaussian,874,fixed,(Intercept),0.06,-0.426,0.535
"","","","",fixed,year,0.204,0.07,0.336
"","","","",fixed,flock size (ln),0.001,-0.06,0.061
"","","","",fixed,body mass (ln),0.298,0.068,0.526
"","","","",fixed,time (sine of radians),-0.147,-0.229,-0.068
"","","","",fixed,time (cosine of radians),0.029,-0.058,0.116
"","","","",fixed,temperature,-0.048,-0.173,0.074
"","","","",fixed,Stringency index,-0.007,-0.182,0.167
"","","","",random,species within day & year (Intercept),3%,3%,4%
"","","","",random,species within site (Intercept),0%,0%,0%
"","","","",random,species (Intercept),1%,1%,1%
"","","","",random,genus (Intercept),27%,20%,33%
"","","","",random,weekday (Intercept),1%,0%,2%
"","","","",random,site (Intercept),17%,14%,19%
"","","","",random,Residual,51%,42%,61%
Table S1c  - AU a,Escape distance,Gaussian,1065,fixed,(Intercept),-0.05,-0.187,0.089
"","","","",fixed,year,0.036,-0.029,0.102
"","","","",fixed,starting distance (ln)),0.496,0.442,0.546
"","","","",fixed,flock size (ln),0.024,-0.024,0.072
"","","","",fixed,body mass (ln),-0.054,-0.151,0.043
"","","","",fixed,time (sine of radians),-0.038,-0.108,0.035
"","","","",fixed,time (cosine of radians),-0.052,-0.119,0.015
"","","","",fixed,temperature,0.032,-0.027,0.093
"","","","",fixed,Stringency index,0.058,-0.004,0.12
"","","","",random,species within day & year (Intercept),6%,6%,6%
"","","","",random,species within site (Intercept),12%,12%,12%
"","","","",random,species (Intercept),11%,9%,13%
"","","","",random,genus (Intercept),2%,2%,3%
"","","","",random,site (Intercept),7%,5%,9%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,62%,58%,66%
Table S1c  - AU b,Escape distancey,Gaussian,1065,fixed,(Intercept),-0.102,-0.281,0.077
"","","","",fixed,year,0.103,0.029,0.176
"","","","",fixed,flock size (ln),0.055,-0.001,0.11
"","","","",fixed,body mass (ln),0.063,-0.064,0.186
"","","","",fixed,time (sine of radians),-0.012,-0.095,0.074
"","","","",fixed,time (cosine of radians),-0.021,-0.097,0.058
"","","","",fixed,temperature,0.04,-0.032,0.111
"","","","",fixed,Stringency index,0.09,0.016,0.163
"","","","",random,species within day & year (Intercept),7%,7%,8%
"","","","",random,species within site (Intercept),11%,11%,11%
"","","","",random,species (Intercept),13%,11%,15%
"","","","",random,genus (Intercept),7%,6%,8%
"","","","",random,site (Intercept),8%,6%,10%
"","","","",random,weekday (Intercept),0%,0%,0%
"","","","",random,Residual,54%,49%,59%
