model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",fixed,time (cosine of radians),0.006,-0.174,0.188,"",""
"","","","",fixed,temperaturre,-0.107,-0.259,0.052,"",""
"","","","",fixed,# of humans present,-0.027,-0.181,0.128,"",""
"","","","",random,species within day & year (Intercept),17%,16%,17%,"",""
"","","","",random,species (Intercept),39%,33%,44%,"",""
"","","","",random,genus (Intercept),0%,0%,0%,"",""
"","","","",random,weekday (Intercept),0%,0%,0%,"",""
"","","","",random,Residual,44%,40%,50%,"",""
Table S6 - CZ a,Escape distance,Gaussian,1024,fixed,(Intercept),0.218,0.016,0.414,"",""
"","","","",fixed,starting distance (ln)),0.415,0.352,0.477,"",""
"","","","",fixed,flock size (ln),0,-0.047,0.047,"",""
"","","","",fixed,body mass (ln),0.175,0.028,0.327,"",""
"","","","",fixed,time (sine of radians),0.088,-0.035,0.21,"",""
"","","","",fixed,time (cosine of radians),-0.106,-0.225,0.016,"",""
"","","","",fixed,temperaturre,0.047,-0.027,0.121,"",""
"","","","",fixed,# of humans present,-0.059,-0.126,0.008,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,18%,"",""
"","","","",random,site (Intercept),8%,6%,9%,"",""
"","","","",random,genus (Intercept),10%,8%,12%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - CZ b,Escape distance,Gaussian,1024,fixed,(Intercept),0.215,0.011,0.416,"",""
"","","","",fixed,starting distance (ln)),0.414,0.354,0.478,"",""
"","","","",fixed,flock size (ln),-0.001,-0.049,0.046,"",""
"","","","",fixed,body mass (ln),0.179,0.025,0.326,"",""
"","","","",fixed,time (sine of radians),0.088,-0.034,0.21,"",""
"","","","",fixed,time (cosine of radians),-0.106,-0.226,0.015,"",""
"","","","",fixed,temperaturre,0.048,-0.026,0.121,"",""
"","","","",fixed,# of humans present,-0.059,-0.126,0.007,"",""
"","","","",random,species within site (Intercept),2%,2%,2%,"",""
"","","","",random,species within day & year (Intercept),4%,4%,4%,"",""
"","","","",random,species (Intercept),16%,13%,19%,"",""
"","","","",random,site (Intercept),8%,6%,10%,"",""
"","","","",random,genus (Intercept),10%,8%,12%,"",""
"","","","",random,weekday (Intercept),0%,0%,1%,"",""
"","","","",random,Residual,60%,53%,67%,"",""
Table S6 - HU a,Escape distance,Gaussian,1456,fixed,(Intercept),0.085,-0.121,0.294,"",""
"","","","",fixed,year,-0.066,-0.123,-0.006,"",""
"","","","",fixed,starting distance (ln)),0.491,0.444,0.537,"",""
"","","","",fixed,flock size (ln),-0.02,-0.062,0.022,"",""
"","","","",fixed,body mass (ln),-0.062,-0.191,0.065,"",""
"","","","",fixed,time (sine of radians),-0.068,-0.124,-0.01,"",""
"","","","",fixed,time (cosine of radians),0.029,-0.017,0.076,"",""
"","","","",fixed,temperaturre,0.022,-0.034,0.079,"",""
"","","","",fixed,# of humans present,0.006,-0.034,0.048,"",""
"","","","",random,species within day & year (Intercept),9%,9%,9%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),2%,2%,3%,"",""
"","","","",random,genus (Intercept),8%,5%,11%,"",""
"","","","",random,site (Intercept),4%,1%,7%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,76%,68%,82%,"",""
Table S6 - HU b,Escape distance,Gaussian,1456,fixed,(Intercept),0.07,-0.255,0.414,"",""
"","","","",fixed,year,-0.063,-0.133,0.009,"",""
"","","","",fixed,flock size (ln),-0.021,-0.066,0.025,"",""
"","","","",fixed,body mass (ln),0.196,0.005,0.381,"",""
"","","","",fixed,time (sine of radians),-0.097,-0.164,-0.031,"",""
"","","","",fixed,time (cosine of radians),0.037,-0.015,0.092,"",""
"","","","",fixed,temperaturre,0.028,-0.038,0.098,"",""
"","","","",fixed,# of humans present,0.014,-0.032,0.059,"",""
"","","","",random,species within day & year (Intercept),10%,9%,11%,"",""
"","","","",random,species within site (Intercept),0%,0%,0%,"",""
"","","","",random,species (Intercept),1%,1%,2%,"",""
"","","","",random,genus (Intercept),20%,15%,25%,"",""
"","","","",random,site (Intercept),9%,4%,14%,"",""
"","","","",random,weekday (Intercept),2%,1%,3%,"",""
"","","","",random,Residual,58%,48%,68%,"",""
